TICKER,revenuePerShareTTM,netIncomePerShareTTM,operatingCashFlowPerShareTTM,freeCashFlowPerShareTTM,cashPerShareTTM,bookValuePerShareTTM,tangibleBookValuePerShareTTM,shareholdersEquityPerShareTTM,interestDebtPerShareTTM,marketCapTTM,enterpriseValueTTM,peRatioTTM,priceToSalesRatioTTM,pocfratioTTM,pfcfRatioTTM,pbRatioTTM,ptbRatioTTM,evToSalesTTM,enterpriseValueOverEBITDATTM,evToOperatingCashFlowTTM,evToFreeCashFlowTTM,earningsYieldTTM,freeCashFlowYieldTTM,debtToEquityTTM,debtToAssetsTTM,netDebtToEBITDATTM,currentRatioTTM,interestCoverageTTM,incomeQualityTTM,dividendYieldTTM,dividendYieldPercentageTTM,payoutRatioTTM,salesGeneralAndAdministrativeToRevenueTTM,researchAndDevelopementToRevenueTTM,intangiblesToTotalAssetsTTM,capexToOperatingCashFlowTTM,capexToRevenueTTM,capexToDepreciationTTM,stockBasedCompensationToRevenueTTM,grahamNumberTTM,roicTTM,returnOnTangibleAssetsTTM,grahamNetNetTTM,workingCapitalTTM,tangibleAssetValueTTM,netCurrentAssetValueTTM,investedCapitalTTM,averageReceivablesTTM,averagePayablesTTM,averageInventoryTTM,daysSalesOutstandingTTM,daysPayablesOutstandingTTM,daysOfInventoryOnHandTTM,receivablesTurnoverTTM,payablesTurnoverTTM,inventoryTurnoverTTM,roeTTM,capexPerShareTTM,dividendPerShareTTM
AAT,5.747571915123095,0.46137636777201,2.1181445430776824,1.0591473327700405,2.2907520142889894,21.208000426347795,46.51154179021537,21.208000426347795,24.356385388046967,2046729017.7,3316147017.7,73.99598762472885,5.939899579189316,16.117880203961096,32.233475876025636,1.6097698657901816,1.6097698657901816,9.623931700104187,16.844092474336247,26.114478227349686,52.22525501519757,0.013514246273345343,0.031023647708554203,1.0284385760420058,0.5551052440467127,6.44790296282375,0.7829579389583439,1.6575785928143714,4.590925524222704,0.028705330990041005,2.8705330990041005,2.12407931670282,0.0771418538306832,0.0,0.010255531075930968,-2.0001417590725805,-5.427372101814516,-1.7057081653225807,0.018303813705658888,14.837775426233902,0.03381291037007885,0.009919610273359499,-23.708782105669368,-42881000,1224513000,-23.50607508074712,1.1064216849844508,9478000.0,65549500,,7.349298987442429,178.58989919005276,0.0,49.664600749495534,2.0437885997772605,,0.021451937887100453,-1.0589972103076417,0.98
ABR,3.8159845478516576,1.502622310975593,0.4848969264628342,0.4848969264628342,2.9844300489091484,11.816937658402374,63.99964362075616,11.816937658402374,33.06213855006071,1869751540.0099998,5122369540.01,10.937545569471418,4.306883267976716,33.89380114220973,33.89380114220973,1.3908002627325342,1.3908002627325342,11.799133303104362,,92.85542536046407,92.85542536046407,0.09142819050657701,0.029503920076838108,2.671990097971468,0.8064629017726961,,,0.0,0.3227004703184594,0.0766656525707332,7.66656525707332,0.8385340686056578,0.33257242629528877,0.0,0.049598576475665145,7.487106406080348,58.92114549402823,7.71742671009772,0.020837028454544826,19.987968103105665,,0.02347860434785714,-51.24038286297526,,1102711000,,2.671990097971468,18131500,,,10.466621826130822,,,34.87276086432645,,,0.14488678018735915,0.0647642627422852,1.26
ACC,6.325443388054026,0.528968204079672,2.551127411121001,2.1122036139086195,0.392473874425115,22.62646725319315,54.719505787353036,22.62646725319315,26.923299450562006,6329699865.09,9868685865.09,86.9428439087675,7.270636567051542,18.02732384102735,21.7734690430227,2.032575367836518,2.032575367836518,11.335707829560388,24.275896175582133,28.10654529712318,33.94719035004317,0.011501809177640184,0.04592745409673015,1.0346084040219286,0.5808697464932361,8.705521472392638,0.1864699563759125,1.2338698925400198,4.822836971003942,0.040878451837355945,4.0878451837355945,3.554088857327308,0.05787724102441579,0.0,0.0,-2.693627206542336,-6.678767328213823,-2.053708832306618,0.017716842946803524,16.410220575018318,0.019621087803657674,0.009666903903249964,-31.331998726953877,-371108000,,-31.166866454132418,1.1537749893389095,16549000,,,4.649580052011064,0.0,0.0,78.50171325518485,,,0.02273417282364981,-0.9470974323858816,1.88
ADC,4.487032645518663,1.649578254781515,2.5805641044247913,2.5805641044247913,0.11078179236167034,45.57066883717387,61.60224011362309,45.57066883717387,23.318439076061438,3938186237.1000004,5205188237.1,43.09586392396753,15.843432757503953,27.548240277428018,27.54824027742802,1.5599946591525329,1.5599946591525329,20.9406170403389,24.563550222975174,36.41112116385462,36.41112116385462,0.02320408291998192,0.03629995926888157,0.4825927010121264,0.3499408030965088,5.97904741230823,0.443309576627177,6.935880238235767,1.564378105097284,0.03738922492614995,3.738922492614995,1.611320949639973,0.08365886333372223,0.0,0.12186559408036111,-0.1459752051685001,-0.25381873285156903,-0.08438840538865353,0.0189162767682213,41.12637412071677,0.03419458194277201,0.026777893981435222,-23.92614138009527,-58973000,2052657000,-23.701057761233017,0.5043159263644456,38558500,69630500,,55.51746195221448,820.6263975057474,0.0,6.5745080406263225,0.4447821823784844,,0.04188355453336701,-17.67809883497701,2.658
AFCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIN,2.8147762176641002,-0.29383141511550065,0.8550363227438288,0.7702123519876812,0.948575085016019,15.39223077166325,30.79099072046233,15.39223077166325,17.061828052109732,1055085481.1700001,2723880481.17,-33.11422638786015,3.456757925883941,11.379633521037135,12.632879718028233,0.6321370920394925,0.6321370920394925,8.9242015083021,14.799998267661346,29.37843632958357,32.61390200038315,-0.0301985010396198,0.07915851510664759,1.061457919556737,0.5289316670579304,9.067271225671844,7.059684957590445,0.6999248091554411,-2.909955432803967,0.08026721479958887,8.026721479958887,-2.6579867223965845,0.19837234293502476,0.0,0.07458632520751991,-0.5966152955181622,-1.9640552105788103,-0.8308934718960136,0.04270961654391529,10.087676707845011,0.015344996286757331,-0.009542772357767407,-16.189890105925663,175034000,1430494000,-15.718431412409766,1.061457919556737,64516000,30372500,,79.62042630985768,175.95322778032738,0.0,4.584250762229465,2.074414914716382,,-0.019483910577766255,-1.4331451593127982,0.7809999999999998
AHH,4.799102011972798,0.3646794128076005,1.1406114222140575,1.1406114222140575,0.5128679530147505,6.545002198872249,23.25302867991169,6.545002198872249,12.445535613818112,1093961177.925,2016808177.925,37.52611065878842,2.8515751417366553,11.997951040535652,11.99795104053565,2.0909083884430206,2.0909083884430206,5.257115318050538,19.410116721283863,22.119217998936158,22.119217998936158,0.026648112006401208,0.08334756464845142,1.8039808944588962,0.6052094684791789,8.881641884413646,2.519018183886687,1.396713388110198,3.1277099341383097,0.02703690171720862,2.703690171720862,1.0145897657107574,0.033638832845889574,0.0,0.030336400498494762,69.02271006813021,290.4118092354277,33.502649507948526,0.006198616389579651,7.328275381763207,0.023928880762994945,0.015683093064029433,-12.093878678670114,160223000,698648000,-11.189423196185126,1.8422149124902762,220573000,75106500,,192.59369607490473,100.94296764802978,1.5951839680681854,1.8951814490233467,3.6159032026152658,228.8137339055794,0.0631739537464027,0.01652516137207877,0.37
AHT,43.19180759751848,-46.220447012832494,-12.707657006883657,-12.707657006883657,7.89538539984703,-24.103084898444802,317.29293787711396,-24.103084898444802,337.91892580946717,23475165,3659481165,-0.04316271539836287,0.04618931484855521,-0.15699196153306005,-0.15699196153306003,-0.08276948815496737,-0.08276948815496737,7.200329697897442,-43.30336968097695,-24.473060201563555,-24.473060201563555,-23.16814386608145,-6.369752885655969,-13.147513759559413,1.0759041051761429,-43.025583376721734,1.095243905873077,-1.3621337127750313,0.2749358309614692,,,,0.15366422817656294,0.0,0.00021342213693667736,37.855949367088606,-128.66784810126583,-63.91341772151899,0.02114363742970813,158.32323128294644,-0.09569339129284025,-0.1456712126090038,-330.5689003144387,20294000,-284252000,-321.61723463924534,-13.147513759559413,45954500,100032000,2600000.0,32.466196939229256,70.93194981539484,1.7365036036403863,11.242462450505453,5.145777057446425,210.1924805884757,7.449284691927874,-0.3356845415144047,
AI,2.2910607827450438,-0.8242725535801724,-0.5311300046442341,-0.5554943753887511,14.91075589909215,14.26161470797529,15.72828343886403,14.26161470797529,0.0,4846890003.37,3886768003.37,-78.07490340480025,28.0896083092535,-121.16619177466127,-115.85175809379257,4.512462390672481,4.512462390672481,22.52532876291647,-62.04731655071677,-97.16434186715664,-92.9026460637713,-0.01280821309269167,-0.00863172054057573,0.0,0.09325040056594185,15.327128763449442,11.208053949163288,,0.6443621134020618,,,,0.18398038840690578,0.38001518391663913,0.0,21.799455040871933,-94.03324250681199,-2.138964577656676,0.09942567704620663,16.26338818955586,-0.061608957533531516,-0.052407025648038875,13.7451332003468,1062638000,,14.02476912468336,0.0,31710500,11333500,,63.94813707251769,108.75386978612785,0.0,5.707750322516622,3.3562024111675126,,-0.470831824378516,-0.024364370744517014,
AIRC,5.538838127641231,-0.8015256598748374,2.7834440501574154,-0.0876061303507786,0.34034069478335166,10.059586947987468,47.916188775392385,10.059586947987468,33.89519748135262,6001888200,10200674200,-57.64007606096402,8.341099511365343,16.5981421460177,-527.3603549775943,4.592633896289631,4.592633896289631,14.176345135055506,33.51736281790103,28.209829092920355,-896.2897987874528,-0.01734904025703111,-0.0018962365876791906,3.043499220645659,0.7900088902758875,13.796365906551882,0.7415276003776309,0.18296447346266814,-3.4726823974569516,0.009307359307359306,0.9307359307359306,-0.5364768984029118,0.06445224555142338,0.0,0.0007124421160847212,2.6220759067770802,5.217728017635201,2.8538134671442865,0.0,13.469145629826118,0.005468838246527176,-0.01672765886352099,-34.328207388134956,-223407000,1303655000,-32.9476025894651,3.2467358558856367,,,,282.27800893884563,0.0,0.0,1.2930514898136318,,,-0.06085998104244351,1.0615421326908423,0.43
