AMT,American Tower Corporation,REIT—Specialty
PLD,"Prologis, Inc",REIT—Industrial
CCI,Crown Castle International Corp.,REIT—Specialty
EQIX,"Equinix, Inc.",REIT—Specialty
PSA,Public Storage,REIT—Industrial
DLR,"Digital Realty Trust, Inc",REIT—Office
SPG,"Simon Property Group, Inc",REIT—Retail
SBAC,SBA Communications Corporation,REIT—Specialty
WELL,Welltower Inc,REIT—Healthcare Facilities
WY,Weyerhaeuser Company,REIT—Specialty
EQR,Equity Residential,REIT—Residential
AVB,"AvalonBay Communities, Inc",REIT—Residential
O,Realty Income Corporation,REIT—Retail
ARE,"Alexandria Real Estate Equities, Inc",REIT—Office
VTR,"Ventas, Inc",REIT—Healthcare Facilities
INVH,Invitation Homes Inc,REIT—Residential
EXR,Extra Space Storage Inc,REIT—Industrial
ESS,"Essex Property Trust, Inc",REIT—Residential
PEAK,"Healthpeak Properties, Inc.",REIT—Healthcare Facilities
MAA,"Mid-America Apartment Communities, Inc",REIT—Residential
SUI,"Sun Communities, Inc",REIT—Residential
BXP,"Boston Properties, Inc",REIT—Office
DRE,Duke Realty Corporation,REIT—Industrial
VICI,VICI Properties Inc,REIT—Diversified
UDR,"UDR, Inc",REIT—Residential
WPC,W. P. Carey Inc,REIT—Diversified
MPW,"Medical Properties Trust, Inc",REIT—Healthcare Facilities
HST,"Host Hotels & Resorts, Inc",REIT—Hotel & Motel
ELS,"Equity LifeStyle Properties, Inc",REIT—Residential
CPT,Camden Property Trust,REIT—Residential
AMH,American Homes 4 Rent Class A,REIT—Residential
IRM,Iron Mountain Incorporated,REIT—Specialty
GLPI,"Gaming and Leisure Properties, Inc",REIT—Specialty
COLD,Americold Realty Trust,REIT—Industrial
REG,Regency Centers Corporation,REIT—Retail
VER,"VEREIT, Inc",REIT—Diversified
STOR,STORE Capital Corporation,REIT—Diversified
OHI,"Omega Healthcare Investors, Inc",REIT—Healthcare Facilities
VNO,Vornado Realty Trust,REIT—Office
CONE,CyrusOne Inc,REIT—Specialty
LAMR,Lamar Advertising Company Class A,REIT—Specialty
KIM,Kimco Realty Corporation,REIT—Retail
FRT,Federal Realty Investment Trust,REIT—Retail
NNN,"National Retail Properties, Inc",REIT—Retail
